Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#022320212,School Trip,Budget,Return,30,23/02/2021,14/03/2021,6.686,14,6.12,No,No,323,535.9,12,740,432,2.2
#022220215,Concert,Budget,Return,16,22/02/2021,27/03/2021,36.925,43,8.1,No,Yes,317,786.49,74,694,533,19.0
#021920211,Concert,Budget,Return,13,19/02/2021,27/03/2021,103.131,85,7.95,No,No,317,1087.09,146,694,483,10.7
#021820216,Airport Transfer,Standard,Return,53,18/02/2021,18/06/2021,45.667,56,48.48,No,No,323,784.3,4,740,432,6.8
#022120212,Other,Budget,Return,26,21/02/2021,13/03/2021,39.869,45,4.87,No,Yes,343,460,36,758,458,2.2
#022020213,Seniors Trip,Budget,Return,10,20/02/2021,09/04/2021,731.44,558,76.6,No,No,349,2139,18,870,461,0.0
#021920216,Corporate Event,Budget,One Way,60,19/02/2021,16/07/2021,5.601,10,0.17,No,Yes,311,300,6,703,449,4.6
#021820219,Concert,Luxury,Return,100,18/02/2021,11/03/2021,248.71,174,7.45,No,No,343,2530,8,758,452,3.2
#021920217,Other,Budget,One Way,50,19/02/2021,28/03/2021,56.537,48,0.8,No,No,326,747.5,61,745,426,22.2
#021920217,Other,Budget,One Way,50,19/02/2021,28/03/2021,56.537,48,0.8,No,No,211,700,73,773,426,22.2
#0218202110,Airport Transfer,Luxury,One Way,14,18/02/2021,28/05/2021,154.315,117,1.95,No,No,251,1288,165,770,443,1.8
#021820218,Corporate Event,Budget,Return,16,18/02/2021,16/03/2021,49.864,52,3.92,No,Yes,343,402.5,8,758,452,3.5
#021820218,Corporate Event,Budget,Return,16,18/02/2021,16/03/2021,49.864,52,3.92,No,Yes,314,395,6,714,452,3.5
#021820217,Other,Standard,One Way,54,18/02/2021,25/02/2021,1.514,4,0.07,No,No,326,552,47,745,426,0.7
#021820217,Other,Standard,One Way,54,18/02/2021,25/02/2021,1.514,4,0.07,No,No,211,395,45,773,426,0.7
#021720212,Corporate Event,Standard,One Way,23,17/02/2021,06/03/2021,13.369,19,0.32,No,Yes,192,375,65,772,426,13.9
#021720211,School Trip,Budget,One Way,58,17/02/2021,24/02/2021,13.705,12,0.2,No,No,323,149.5,26,740,432,2.1
#021620212,Corporate Event,Standard,Return,16,16/02/2021,25/02/2021,97.599,81,5.43,No,Yes,343,415,8,758,452,3.3
#021520215,Wedding,Standard,Return,50,15/02/2021,27/02/2021,31.033,30,4,No,No,343,475,4,758,452,3.7
#021520212,Corporate Event,Budget,Return,30,15/02/2021,05/03/2021,49.872,50,6.42,No,Yes,331,730.25,36,748,547,3.6
#021520211,Educational Trip,Luxury,One Way,30,15/02/2021,10/03/2021,150.992,126,2.1,No,No,331,1581.25,183,748,467,5.9
#021120211,Hen or Stag Do,Budget,Return,28,11/02/2021,27/02/2021,309.505,218,15.28,No,Yes,326,2102.2,24,745,426,7.7
#021420212,Educational Trip,Standard,One Way,30,14/02/2021,14/03/2021,23.754,26,0.43,No,No,326,563.5,48,745,533,18.5
#021420212,Educational Trip,Standard,One Way,30,14/02/2021,14/03/2021,23.754,26,0.43,No,No,211,345,27,773,533,18.5
#021420211,Other,Budget,Return,15,14/02/2021,20/03/2021,74.404,63,5.52,No,No,331,799.25,36,748,467,4.5
#021320215,Other,Budget,Return,16,13/02/2021,27/03/2021,73.977,80,3.42,No,Yes,326,563.5,46,745,426,22.0
#021220218,Other,Budget,Return,34,12/02/2021,06/03/2021,124.819,118,8.48,No,No,251,701.5,32,770,525,9.5
#021220217,Other,Budget,One Way,50,12/02/2021,13/03/2021,40.891,42,0.7,No,Yes,326,782,145,745,506,3.9
