,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
251,0,1,16,25.771,29,9.48,747.5,0,1,0,0,0,0,430.5824279785156,-316.9175720214844
252,0,1,16,25.771,29,9.48,390.0,0,1,0,0,0,0,430.5824279785156,40.582427978515625
253,0,1,70,68.862,54,8.7,1752.0,0,1,0,0,0,1,976.15771484375,-775.84228515625
254,0,0,60,115.553,90,1.5,1002.8,1,0,0,0,0,1,1205.5628662109375,202.76286621093755
255,0,0,60,115.553,90,1.5,1236.77,1,0,0,0,0,1,1205.5628662109375,-31.207133789062482
256,0,0,60,115.553,90,1.5,1990.0,1,0,0,0,0,1,1205.562255859375,-784.437744140625
257,0,0,60,115.553,90,1.5,2110.0,1,0,0,0,0,1,1205.562255859375,-904.437744140625
258,1,1,14,25.771,29,9.73,747.5,0,1,0,0,0,0,611.800048828125,-135.699951171875
259,1,1,20,357.596,277,58.32,1325.09,0,1,0,0,0,0,2609.058349609375,1283.968349609375
260,1,1,50,93.632,77,10.38,1325.0,0,0,0,0,0,1,1306.1165771484375,-18.8834228515625
261,0,0,25,13.869000000000002,11,0.18,281.75,0,0,1,0,0,0,292.00830078125,10.25830078125
262,0,0,100,11.778,20,0.33,1458.2,0,0,0,0,1,1,1113.669921875,-344.53007812500005
263,0,1,50,78.737,79,10.15,670.0,0,0,0,0,0,1,1018.4730224609375,348.4730224609375
264,1,1,14,60.605,52,6.17,450.0,0,1,0,0,0,0,533.9022216796875,83.9022216796875
265,0,1,9,89.694,70,10.58,650.0,1,0,0,0,0,0,416.3752746582031,-233.62472534179688
266,0,1,30,165.405,139,23.13,1385.75,0,0,1,0,0,0,1373.0574951171875,-12.6925048828125
267,0,0,50,66.429,69,5.58,736.0,0,0,0,0,0,1,991.7000732421875,255.7000732421875
268,0,0,50,66.429,69,5.58,895.0,0,0,0,0,0,1,991.7000732421875,96.7000732421875
269,0,1,50,88.55,70,10.83,1050.0,0,0,0,0,0,1,1022.0316162109375,-27.9683837890625
270,0,0,23,37.846,35,0.58,356.5,0,1,0,0,0,0,390.69903564453125,34.19903564453125
271,0,0,23,37.846,35,0.58,405.0,0,1,0,0,0,0,390.69903564453125,-14.30096435546875
272,0,1,35,165.183,151,76.73,1276.5,0,0,1,0,0,0,1460.9620361328125,184.4620361328125
273,0,1,35,165.183,151,76.73,1521.55,0,0,1,0,0,0,1460.9620361328125,-60.587963867187455
274,0,1,35,165.183,151,76.73,1145.0,0,0,1,0,0,0,1460.9620361328125,315.9620361328125
